Delegate Name,Delegate Contract,Aligned Voter Committee,Start Date,End Date,End Reason
vigilant,0xc2daea14891fc47ee76368ce7c54c7b200fba672,KISS AVC,2023-04-02,,
vigilant,0x51f3067cb6a1185d1e8316332921d9501fc4c006,Resiliency AVC,2023-07-10,,
QGov,0xca0c8bedc85c2ec9b0dfb42b3f2763486ddea1b6,Neutral,2023-04-10,,
QGov,0x1dd6c65e6e22f196d5c2209f439d1f07d02ba7a4,Regenerative Finance AVC,2023-07-07,,
QGov,0x0a907fe3adb890db7db27a7f21e188a4127b2e7c,Resiliency AVC,2023-04-10,,
BONAPUBLICA,0xFE61acc408b63a5a03507A224398fa1FE8143F28,KISS AVC,2023-07-04,,
BONAPUBLICA,0xe2bfda5e1f59325e4b8df5feaa30e4ab6516bf28,Regenerative Finance AVC,2023-07-04,,
PBG,0x69b576a7e193a15a570ee5bb2149deb3f03537a2,Resiliency AVC,2023-07-11,,
PBG,0xc3b85930deca88e5bcb48fa8ebe935f97d5e412b,Regenerative Finance AVC,2023-04-09,,
PBG,0x952dc79bcee652aad8cc9268d9c614fa166d0c1d,Neutral,2023-04-09,,
Pf,0x62060879dfbb6def3b73cfc48f1f0595c0fed505,Neutral,2023-04-11,,
UPMaker,0x8cC777Ed9eb3A3b9087591697eCb7F60f256CE4F,Regenerative Finance AVC,2023-04-17,,
UPMaker,0x27194176525a0088e3dc96973b22b01b15376ebd,Resiliency AVC,2023-04-17,,
WBC,0xb086ec4303dc1514c09618c6c68ee444d6eee041,Neutral,2023-05-11,,
WBC,0x58dc40b5f9f0758ee43b0a208fe362c90fdfad4d,Regenerative Finance AVC,2023-05-11,,
WBC,0x5b0a4932dc9e253f9b15fd69f07b68e9874ea794,Resiliency AVC,2023-07-10,,
BLUE,0xb18680092734394295d0591bb42f2bd3c184517e,KISS AVC,2023-09-28,,
BLUE,0x445cb6c63c502fdbebd1b273f6aea1aad691e0aa,Sovereign Finance AVC,2023-05-19,,
JAG,0xfbec297af3f4925966ab295a0771c420a9e85e08,Resiliency AVC,2023-05-25,,
JAG,0x36124cee63ae786eea41bda0fb61b1b946e4c08c,Sovereign Finance AVC,2023-05-25,,
Skynet,0xb6ca415fc42b3f96641d14280c3f3a0f078e50e5,Regenerative Finance AVC,2023-06-06,,
Skynet,0x644c092a5ccafc425ebf133123299a6397ae97d9,Resiliency AVC,2023-06-06,,
Cloaky,0xb335e8b70f95f28e79acf58491751f83b0050888,Sovereign Finance AVC,2023-06-06,,
Cloaky,0x475efac48a0a18660a7a26ee6bd5febf466930f8,Regenerative Finance AVC,2023-06-06,,
Penguin Soldier,0x5b4870014313c808c374F8eD1AB5b78813EB9c7f,Resiliency AVC,2023-09-25,,
Penguin Soldier,0x4d8c9c2cd8846533967b07becfc437542196ad6a, KISS AVC,2023-07-17,,
Vision,0x918d368ea7bbe3af0f4ec9172802f8badae01284,KISS AVC,2023-08-27,, xxxx
Vision,0x3200c191cc245b3e2de3fd3b3087104f3f313f57,Resiliency AVC,2023-08-26,,
Nimsen,0x907fea3a32215993cd6734402044f0957e1a3078,KISS AVC,2023-08-29,, xxx
Nimsen,0xa2c669dc868be0a2a8d6c0ad715e17f45035ba76,Resiliency AVC,2023-08-29,,
Ikagai,0xC0E23144db36101453BA5c426445ca5Bf20f6b71,Regenerative Finance AVC,2023-08-13,,
Ikagai,0xAB3fD902E4dad36c6b31E3954A8dE14Dd829533c,Resiliency AVC,2023-08-13,,
Byteron,0xa346C2EEa05bB32c986FF755b2F19d2f0ba8d14C,Regenerative Finance AVC,2023-10-31,,
Byteron,0x8Ea48C2264F1E5998c3aB3DF3037903F8FAe0cAa,Resiliency AVC,2023-10-31,,
Shanah,0xdbb451BFd4e6E461caa2C8bf0dC83346A211c29C,Resiliency AVC,2023-10-02,,
Shanah,0x1D71861f54Aa6E63add5AcfC70E0E4bA9Fd9f259,Regenerative Finance AVC,2023-10-02,,
Pipkin,0x45C52826EFA13A6DE713528BF42B520C9fA50081,Resiliency AVC,2024-01-17,,
Pipkin,0x47EcD8e9f8F299cE47E3aB891a874707d70A3aF9,Sovereign Finance AVC,2024-01-17,,
TRUE NAME,0xddecead383f2c22b4755ab32f56d48a4a1415258,Regenerative Finance AVC,2023-03-30,,xx
TRUE NAME,0x87686C4Dd2FFd8e0b01f716EEA1573f829737e97,Resiliency AVC,2023-03-30,, xx
StoneWill,0x204A2B6ab6A675D1f82634F92799Ced2bDD641A2,Regenerative Finance AVC,2024-02-27,,
StoneWill,0x911682CB21d7e5bdc75544fB1FCf0Fb8E9635AcF,KISS AVC,2024-02-27,,
JuliaChang,0x7938b304F1c28e85b6A021251C8CeefF20370f38,Regenerative Finance AVC,2024-02-27,,
JuliaChang,0x117B58Cc89156b48c302aAa4832A19C1c1Aa124C,Sovereign Finance AVC,2024-02-27,,



