,Start Date,End Date,Title,0xFc48fBcA739079aaB08216C4d5E506B96593753d,0x173a1c04B79Ed9266721c1154dAa29AddC0B9558,0x555230eCa835A808518EC3eA3082F05502BAb850,0x4bed44a9839b8778f69bb6a6d9f843414377ae90,0x0F23dE72e1581857eacD6308aebb69cF3a49CC86,0x5D4a96aFadb5505a8fF21ddeCa2Baf3A63301396,0xd260762E442ea1893E5eD5E7d28984e19aaFbF5e,0xeAD02D18529C10EeDD995F760FDf5e380DDf3Da6,0x550E5EC00B9d26a3517ce772DdFE73e8Ed1672Ad,0xFf7615E05EC1C8D5dED24AB50Bf74432666BEE2f,0xE01684B17dF0aBBdAf97839277b194bE4E1A7E79,0x2C89024c13A80bC1B662A3dB990524652C15221C
Poll Id,Start Date,End Date,Title,BONAPUBLICA-v3,BLUE-v3,PBG-v3,WBC-v3,Cloaky-v3,JuliaChang-legacy,AegisD-v3,Excel-v3,Tango-v3,Max Staking Yield-v3,Sky Staking-v3,Kuzmich-v3
1507,2025-06-02,2025-06-05,"Spark Liquidity Layer Mainnet - Add Spark Liquidity Layer to Spark DAI Morpho Vault Allocator Role - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1508,2025-06-02,2025-06-05,"Atlas Edit Weekly Cycle Proposal - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1509,2025-06-02,2025-06-05,"Spark DAI Morpho Vault Mainnet - Onboard New Ethena PTs to the Morpho Spark DAI Vault - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1510,2025-06-02,2025-06-05,"Spark DAI Morpho Vault Mainnet – Reduce Supply Cap for Inactive Pools - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1511,2025-06-02,2025-06-05,"Spark Liquidity Layer Mainnet - Update syrupUSDC Rate Limits - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1512,2025-06-02,2025-06-05,"Spark Liquidity Layer Mainnet – Onboard Spark DAI Morpho Vault - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1513,2025-06-02,2025-06-05,"Spark DAI Morpho Vault Mainnet - Update Vault Fee - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1514,2025-06-02,2025-06-05,"Spark USDC Morpho Vault Base - Update Vault Fee - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1515,2025-06-02,2025-06-05,"SparkLend Mainnet - Update ezETH Parameters - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1516,2025-06-02,2025-06-05,"SparkLend Mainnet - Update Stablecoin Market Reserve Factors - June 2, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,No,Yes,Yes,Not Started
1517,2025-06-09,2025-06-23,"Atlas Edit Monthly Cycle Proposal (AEP-11) - June 9, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,Yes,Not Started
1518,2025-06-09,2025-06-12,"Atlas Edit Weekly Cycle Proposal - June 9, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,No,Not Started
1519,2025-06-16,2025-06-19,"Atlas Edit Weekly Cycle Proposal - June 16, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,No,Not Started
1520,2025-06-16,2025-06-19,"Increase ALLOCATOR-BLOOM-A Maximum Debt Ceiling - June 16, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,No,Not Started
1521,2025-06-16,2025-06-19,"Spark DAI Morpho Vault Mainnet - Onboard LP-USDS-14Aug-2025 to the Spark DAI Morpho Vault - June 16, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,No,Not Started
1522,2025-06-16,2025-06-19,"Spark DAI Morpho Vault Mainnet - Onboard syrupUSDC August PT to the Spark DAI Morpho Vault - June 16, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,No,Not Started
1523,2025-06-16,2025-06-19,"Spark DAI Morpho Vault Mainnet - Onboard USDe September PT to the Spark DAI Morpho Vault - June 16, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,No,Not Started
1524,2025-06-23,2025-06-26,"Smart Burn Engine Parameter Update - June 23, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,Yes,Not Started
1525,2025-06-23,2025-06-26,"Atlas Edit Weekly Cycle Proposal - June 23, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,Yes,Not Started
1526,2025-06-30,2025-07-03,"Atlas Edit Weekly Cycle Proposal - June 30, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Yes,Yes,Yes,Yes
0xc9c4ddf824e4ff80158ab7862d168a35ce616e8e,2025-06-26,N/A,"SPK Farming Initialization, Partial Phase 3 MKR-to-SKY Migration, Smart Burn Engine Parameter Updates, ALLOCATOR-BLOOM-A Maximum Debt Ceiling Increase, Spark USDS Transfer, Launch Project Funding, Delegate Compensation for May 2025, Atlas Core Development Payments for June 2025, Spark Proxy Spell - June 26, 2025",Yes,Yes,Yes,Yes,Yes,No Delegated SKY,Yes,Yes,Pending verification,Yes,Yes,Not Started
0xbf5ef05a578f270c0e54c7f6ef7ccfb5c9cd56b0,2025-06-12,N/A,"Housekeeping Items, Spark Proxy Spell - June 12, 2025",Yes,Pending verification,Pending verification,Pending verification,Yes,No Delegated SKY,Pending verification,Pending verification,Pending verification,Yes,Yes,Not Started
